rank,player,avg,total_distance,total_drives,tournament
29,Xander Schauffele,296.8,"2,374",8,The Open Championship
31,Andy Ogletree,296.0,"2,368",8,The Open Championship
32,Sungjae Im,295.5,"2,364",8,The Open Championship
33,Hideki Matsuyama,295.4,"2,363",8,The Open Championship
33,Thorbjørn Olesen,295.4,"2,363",8,The Open Championship
35,Jon Rahm,295.3,"2,362",8,The Open Championship
36,Chris Kirk,295.1,"2,361",8,The Open Championship
37,Padraig Harrington,295.0,"2,360",8,The Open Championship
38,Emiliano Grillo,294.5,"2,356",8,The Open Championship
39,Daniel Brown,294.1,"2,353",8,The Open Championship
40,Brooks Koepka,294.0,"2,352",8,The Open Championship
41,Eric Cole,293.6,"2,349",8,The Open Championship
42,Tom McKibbin,293.4,"2,347",8,The Open Championship
43,Corey Conners,292.8,"2,342",8,The Open Championship
,Field Average,292.6,,,The Open Championship
44,Patrick Cantlay,292.4,"2,339",8,The Open Championship
45,Guido Migliozzi,291.8,"2,334",8,The Open Championship
46,Ryan Fox,291.4,"2,331",8,The Open Championship
47,Daniel Hillier,290.4,"2,323",8,The Open Championship
47,Sepp Straka,290.4,"2,323",8,The Open Championship
49,Tom Hoge,290.3,"2,322",8,The Open Championship
49,Tommy Morrison,290.3,"2,322",8,The Open Championship
51,Rickie Fowler,290.0,"2,320",8,The Open Championship
51,Phil Mickelson,290.0,"2,320",8,The Open Championship
53,Aaron Rai,289.9,"2,319",8,The Open Championship
54,Shane Lowry,289.5,"2,316",8,The Open Championship
55,Russell Henley,288.4,"2,307",8,The Open Championship
56,Abraham Ancer,288.3,"2,306",8,The Open Championship
57,Scottie Scheffler,288.1,"2,305",8,The Open Championship
58,Jeunghun Wang,287.5,"2,300",8,The Open Championship
59,Darren Fichardt,287.3,"2,298",8,The Open Championship
60,Thriston Lawrence,286.3,"2,290",8,The Open Championship
61,Joaquin Niemann,285.4,"2,283",8,The Open Championship
62,Matt Fitzpatrick,284.9,"2,279",8,The Open Championship
62,Matthew Jordan,284.9,"2,279",8,The Open Championship
64,Shubhankar Sharma,284.5,"2,276",8,The Open Championship
65,Matt Wallace,284.3,"2,274",8,The Open Championship
66,Jorge Campillo,283.9,"2,271",8,The Open Championship
66,Harris English,283.9,"2,271",8,The Open Championship
66,Billy Horschel,283.9,"2,271",8,The Open Championship
69,Marcel Siem,283.0,"2,264",8,The Open Championship
70,Dustin Johnson,281.5,"2,252",8,The Open Championship
71,Collin Morikawa,281.1,"2,249",8,The Open Championship
72,Mackenzie Hughes,280.6,"2,245",8,The Open Championship
73,Young-han Song,279.6,"2,237",8,The Open Championship
73,Gary Woodland,279.6,"2,237",8,The Open Championship
75,Dean Burmester,279.5,"2,236",8,The Open Championship
76,Brendon Todd,278.3,"2,226",8,The Open Championship
77,Jason Day,278.0,"2,224",8,The Open Championship
78,Justin Rose,275.6,"2,205",8,The Open Championship
79,Alex Cejka,270.3,"2,162",8,The Open Championship
80,Darren Clarke,256.3,"2,050",8,The Open Championship
1,Hayden Springer,334.0,"2,672",8,ISCO Championship
2,Sam Bairstow,329.8,"2,638",8,ISCO Championship
3,Chan Kim,326.3,"2,610",8,ISCO Championship
4,Luke Clanton,326.0,"2,608",8,ISCO Championship
4,J.J. Spaun,326.0,"2,608",8,ISCO Championship
6,Callum Tarren,325.4,"2,603",8,ISCO Championship
7,Johannes Veerman,325.3,"2,602",8,ISCO Championship
8,Garrick Higgo,324.3,"2,594",8,ISCO Championship
9,Rico Hoey,324.1,"2,593",8,ISCO Championship
10,Pierceson Coody,324.0,"2,592",8,ISCO Championship
11,Andy Sullivan,323.9,"2,591",8,ISCO Championship
12,MJ Daffue,323.3,"2,586",8,ISCO Championship
13,Patton Kizzire,321.6,"2,573",8,ISCO Championship
14,Patrick Fishburn,321.3,"2,570",8,ISCO Championship
14,James Hahn,321.3,"2,570",8,ISCO Championship
16,Ben Taylor,320.9,"2,567",8,ISCO Championship
17,Ricardo Gouveia,320.5,"2,564",8,ISCO Championship
17,Sam Ryder,320.5,"2,564",8,ISCO Championship
19,Matthis Besard,319.8,"2,558",8,ISCO Championship
20,S.Y. Noh,319.4,"2,555",8,ISCO Championship
21,Ben Silverman,319.1,"2,553",8,ISCO Championship
22,Neal Shipley,319.0,"2,552",8,ISCO Championship
23,Harry Hall,318.4,"2,547",8,ISCO Championship
24,Alex Smalley,318.1,"2,545",8,ISCO Championship
25,Tom Vaillant,317.4,"2,539",8,ISCO Championship
26,Cody Gribble,317.0,"2,536",8,ISCO Championship
27,Ryan McCormick,316.6,"2,533",8,ISCO Championship
28,Angel Hidalgo Portillo,316.5,"2,532",8,ISCO Championship
29,Kevin Chappell,315.6,"2,525",8,ISCO Championship
29,Kevin Tway,315.6,"2,525",8,ISCO Championship
31,Paul Barjon,315.1,"2,521",8,ISCO Championship
32,Matt NeSmith,314.9,"2,519",8,ISCO Championship
33,Jacques Kruyswijk,314.8,"2,518",8,ISCO Championship
33,Troy Merritt,314.8,"2,518",8,ISCO Championship
35,Austin Smotherman,314.1,"2,513",8,ISCO Championship
,Field Average,313.6,,,ISCO Championship
36,Mac Meissner,312.4,"2,499",8,ISCO Championship
37,Adrien Saddier,312.1,"2,497",8,ISCO Championship
38,Ryan Moore,311.5,"2,492",8,ISCO Championship
38,Lukas Nemecz,311.5,"2,492",8,ISCO Championship
40,Hayden Buckley,311.1,"2,489",8,ISCO Championship
40,Fabrizio Zanotti,311.1,"2,489",8,ISCO Championship
42,Francesco Laporta,310.8,"2,486",8,ISCO Championship
42,Henrik Norlander,310.8,"2,486",8,ISCO Championship
44,Nick Hardy,310.5,"2,484",8,ISCO Championship
45,Bill Haas,309.8,"2,478",8,ISCO Championship
46,Andrew Wilson,308.9,"2,471",8,ISCO Championship
47,Marcus Kinhult,308.8,"2,470",8,ISCO Championship
48,Spencer Cross,307.6,"2,461",8,ISCO Championship
49,Cooper Musselman,307.4,"2,459",8,ISCO Championship
50,Chad Ramey,306.3,"2,450",8,ISCO Championship
51,Andrea Pavan,305.9,"2,447",8,ISCO Championship
52,S.H. Kim,305.5,"2,444",8,ISCO Championship
53,Max Rottluff,305.4,"2,443",8,ISCO Championship
54,Dylan Wu,303.5,"2,428",8,ISCO Championship
55,William McGirt,303.4,"2,427",8,ISCO Championship
56,Russell Knox,302.5,"2,420",8,ISCO Championship
56,David Lipsky,302.5,"2,420",8,ISCO Championship
58,Chez Reavie,301.8,"2,414",8,ISCO Championship
59,Brandon Wu,301.3,"2,410",8,ISCO Championship
60,Kevin Kisner,300.9,"2,407",8,ISCO Championship
61,Zac Blair,299.9,"2,399",8,ISCO Championship
62,Lanto Griffin,299.6,"2,397",8,ISCO Championship
63,Sebastian Friedrichsen,299.5,"2,396",8,ISCO Championship
64,Jonathan Byrd,298.6,"2,389",8,ISCO Championship
65,Roger Sloan,297.5,"2,380",8,ISCO Championship
66,Aaron Baddeley,295.4,"2,363",8,ISCO Championship
67,Brandt Snedeker,293.6,"2,349",8,ISCO Championship
1,Rory McIlroy,324.8,"2,598",8,Genesis Scottish Open
2,Rasmus Højgaard,319.5,"2,556",8,Genesis Scottish Open
3,Alejandro Del Rey,319.4,"2,555",8,Genesis Scottish Open
4,Niklas Norgaard,317.9,"2,543",8,Genesis Scottish Open
5,Nicolai Højgaard,317.4,"2,539",8,Genesis Scottish Open
6,Max Greyserman,316.4,"2,531",8,Genesis Scottish Open
7,Antoine Rozner,315.1,"2,521",8,Genesis Scottish Open
8,Gary Woodland,314.9,"2,519",8,Genesis Scottish Open
9,Haotong Li,313.9,"2,511",8,Genesis Scottish Open
10,Sahith Theegala,313.8,"2,510",8,Genesis Scottish Open
11,Kurt Kitayama,313.6,"2,509",8,Genesis Scottish Open
12,Jesper Svensson,313.5,"2,508",8,Genesis Scottish Open
13,Richard Mansell,313.3,"2,506",8,Genesis Scottish Open
14,Wyndham Clark,313.1,"2,505",8,Genesis Scottish Open
14,Daniel Hillier,313.1,"2,505",8,Genesis Scottish Open
16,Victor Perez,313.0,"2,504",8,Genesis Scottish Open
17,Min Woo Lee,312.9,"2,503",8,Genesis Scottish Open
18,Tom Kim,312.4,"2,499",8,Genesis Scottish Open
19,Grant Forrest,312.1,"2,497",8,Genesis Scottish Open
20,Ludvig Åberg,311.4,"2,491",8,Genesis Scottish Open
21,Charley Hoffman,311.3,"2,490",8,Genesis Scottish Open
22,Thorbjørn Olesen,311.0,"2,488",8,Genesis Scottish Open
23,Cam Davis,310.9,"2,487",8,Genesis Scottish Open
24,Ugo Coussaud,310.6,"2,485",8,Genesis Scottish Open
25,Seamus Power,309.4,"2,475",8,Genesis Scottish Open
26,Xander Schauffele,309.1,"2,473",8,Genesis Scottish Open
27,Robert MacIntyre,309.0,"2,472",8,Genesis Scottish Open
28,Tommy Fleetwood,308.6,"2,469",8,Genesis Scottish Open
29,Mackenzie Hughes,308.5,"2,468",8,Genesis Scottish Open
30,Julien Guerrier,308.3,"2,466",8,Genesis Scottish Open
31,Ryan Fox,308.0,"2,464",8,Genesis Scottish Open
31,Adam Scott,308.0,"2,464",8,Genesis Scottish Open
33,Jorge Campillo,307.9,"2,463",8,Genesis Scottish Open
33,Marcel Siem,307.9,"2,463",8,Genesis Scottish Open
35,Max Kieffer,307.8,"2,462",8,Genesis Scottish Open
35,Justin Thomas,307.8,"2,462",8,Genesis Scottish Open
37,Connor Syme,306.8,"2,454",8,Genesis Scottish Open
38,Romain Langasque,306.5,"2,452",8,Genesis Scottish Open
39,Erik van Rooyen,305.8,"2,446",8,Genesis Scottish Open
40,Lee Hodges,305.5,"2,444",8,Genesis Scottish Open
41,Harris English,305.3,"2,442",8,Genesis Scottish Open
42,Viktor Hovland,304.8,"2,438",8,Genesis Scottish Open
43,Adam Hadwin,304.4,"2,435",8,Genesis Scottish Open
44,Sungjae Im,304.1,"2,433",8,Genesis Scottish Open
45,Eric Cole,303.9,"2,431",8,Genesis Scottish Open
,Field Average,303.7,,,Genesis Scottish Open
46,Sam Stevens,303.3,"2,426",8,Genesis Scottish Open
47,Daniel Brown,303.1,"2,425",8,Genesis Scottish Open
48,Ben Kohles,303.0,"2,424",8,Genesis Scottish Open
49,Brian Harman,302.9,"2,423",8,Genesis Scottish Open
50,Junghwan Lee,302.5,"2,420",8,Genesis Scottish Open
51,Jens Dantorp,301.8,"2,414",8,Genesis Scottish Open
52,Ben Griffin,301.5,"2,412",8,Genesis Scottish Open
53,Shubhankar Sharma,301.4,"2,411",8,Genesis Scottish Open
54,Aaron Rai,300.8,"2,406",8,Genesis Scottish Open
54,Davis Thompson,300.8,"2,406",8,Genesis Scottish Open
56,Matthew Jordan,300.3,"2,402",8,Genesis Scottish Open
56,Si Woo Kim,300.3,"2,402",8,Genesis Scottish Open
58,Corey Conners,300.0,"2,400",8,Genesis Scottish Open
58,Ashun Wu,300.0,"2,400",8,Genesis Scottish Open
60,Yannik Paul,299.9,"2,399",8,Genesis Scottish Open
61,Andrew Novak,299.4,"2,395",8,Genesis Scottish Open
62,Thomas Detry,298.9,"2,391",8,Genesis Scottish Open
63,Max Homa,298.5,"2,388",8,Genesis Scottish Open
64,Nick Bachem,298.3,"2,386",8,Genesis Scottish Open
65,Stewart Cink,298.0,"2,384",8,Genesis Scottish Open
66,Alex Noren,297.8,"2,382",8,Genesis Scottish Open
67,Justin Lower,296.1,"2,369",8,Genesis Scottish Open
67,Nick Taylor,296.1,"2,369",8,Genesis Scottish Open
69,Matteo Manassero,295.0,"2,360",8,Genesis Scottish Open
70,Francesco Molinari,293.6,"2,349",8,Genesis Scottish Open
71,Matt Fitzpatrick,293.1,"2,345",8,Genesis Scottish Open
72,Taylor Montgomery,291.6,"2,333",8,Genesis Scottish Open
73,Collin Morikawa,290.8,"2,326",8,Genesis Scottish Open
74,Brendon Todd,287.5,"2,300",8,Genesis Scottish Open
1,Kevin Dougherty,326.8,"2,614",8,John Deere Classic
2,Kyle Westmoreland,319.6,"2,557",8,John Deere Classic
3,Max Greyserman,317.5,"2,540",8,John Deere Classic
4,Patrick Rodgers,316.9,"2,535",8,John Deere Classic
5,Wilson Furr,315.6,"2,525",8,John Deere Classic
6,Jake Knapp,315.4,"2,523",8,John Deere Classic
7,Jordan Spieth,315.3,"2,522",8,John Deere Classic
8,Luke Clanton,314.9,"2,519",8,John Deere Classic
9,Chesson Hadley,313.6,"2,509",8,John Deere Classic
10,Stewart Cink,313.5,"2,508",8,John Deere Classic
11,Thorbjørn Olesen,313.4,"2,507",8,John Deere Classic
12,"Blaine Hale, Jr.",313.1,"2,505",8,John Deere Classic
12,Jhonattan Vegas,313.1,"2,505",8,John Deere Classic
14,J.J. Spaun,313.0,"2,504",8,John Deere Classic
14,Hayden Springer,313.0,"2,504",8,John Deere Classic
16,Matt NeSmith,311.6,"2,493",8,John Deere Classic
17,Michael Thorbjornsen,311.4,"2,491",8,John Deere Classic
18,Rico Hoey,311.1,"2,489",8,John Deere Classic
19,S.H. Kim,311.0,"2,488",8,John Deere Classic
20,Sam Stevens,310.9,"2,487",8,John Deere Classic
21,Kevin Chappell,310.0,"2,480",8,John Deere Classic
22,Kevin Yu,309.3,"2,474",8,John Deere Classic
23,Davis Thompson,307.9,"2,463",8,John Deere Classic
24,Harry Hall,307.0,"2,456",8,John Deere Classic
25,Keith Mitchell,306.9,"2,455",8,John Deere Classic
26,Ben Griffin,306.8,"2,454",8,John Deere Classic
27,Pierceson Coody,306.4,"2,451",8,John Deere Classic
28,Seamus Power,305.9,"2,447",8,John Deere Classic
29,James Hahn,305.6,"2,445",8,John Deere Classic
30,Ben Taylor,304.9,"2,439",8,John Deere Classic
31,Ryo Hisatsune,304.5,"2,436",8,John Deere Classic
31,Mac Meissner,304.5,"2,436",8,John Deere Classic
33,Dylan Frittelli,304.0,"2,432",8,John Deere Classic
34,Carson Young,302.1,"2,417",8,John Deere Classic
35,Jason Day,301.8,"2,414",8,John Deere Classic
36,Bud Cauley,301.5,"2,412",8,John Deere Classic
36,Nico Echavarria,301.5,"2,412",8,John Deere Classic
38,Beau Hossler,301.3,"2,410",8,John Deere Classic
39,Kevin Streelman,301.1,"2,409",8,John Deere Classic
40,Eric Cole,301.0,"2,408",8,John Deere Classic
41,Bill Haas,300.9,"2,407",8,John Deere Classic
41,Sungjae Im,300.9,"2,407",8,John Deere Classic
43,Aaron Rai,300.4,"2,403",8,John Deere Classic
44,Austin Smotherman,300.3,"2,402",8,John Deere Classic
45,Andrew Novak,300.0,"2,400",8,John Deere Classic
,Field Average,299.8,,,John Deere Classic
46,Denny McCarthy,299.6,"2,397",8,John Deere Classic
47,Justin Suh,299.3,"2,394",8,John Deere Classic
48,Doug Ghim,299.0,"2,392",8,John Deere Classic
49,Chan Kim,297.9,"2,383",8,John Deere Classic
50,Joshua Creel,297.6,"2,381",8,John Deere Classic
51,Joel Dahmen,297.5,"2,380",8,John Deere Classic
52,Hayden Buckley,296.8,"2,374",8,John Deere Classic
53,Scott Gutschewski,296.6,"2,373",8,John Deere Classic
54,Trace Crowe,296.3,"2,370",8,John Deere Classic
55,Ben Silverman,296.0,"2,368",8,John Deere Classic
56,Mark Hubbard,295.6,"2,365",8,John Deere Classic
57,Lee Hodges,294.4,"2,355",8,John Deere Classic
58,Sami Valimaki,294.3,"2,354",8,John Deere Classic
59,Robby Shelton,294.1,"2,353",8,John Deere Classic
60,Adrien Dumont de Chassart,293.9,"2,351",8,John Deere Classic
61,Sepp Straka,292.8,"2,342",8,John Deere Classic
62,J.T. Poston,292.5,"2,340",8,John Deere Classic
63,C.T. Pan,291.9,"2,335",8,John Deere Classic
64,Adam Svensson,290.9,"2,327",8,John Deere Classic
65,Sam Ryder,290.5,"2,324",8,John Deere Classic
66,Chandler Phillips,289.9,"2,319",8,John Deere Classic
67,Justin Lower,289.0,"2,312",8,John Deere Classic
68,Ben Kohles,288.5,"2,308",8,John Deere Classic
69,Brice Garnett,288.3,"2,306",8,John Deere Classic
70,David Lipsky,284.4,"2,275",8,John Deere Classic
71,Henrik Norlander,284.1,"2,273",8,John Deere Classic
72,Roger Sloan,284.0,"2,272",8,John Deere Classic
73,Brendon Todd,281.8,"2,254",8,John Deere Classic
74,Lucas Glover,281.6,"2,253",8,John Deere Classic
75,Zach Johnson,281.4,"2,251",8,John Deere Classic
76,Zac Blair,280.9,"2,247",8,John Deere Classic
77,Ryan Palmer,280.1,"2,241",8,John Deere Classic
1,Chris Gotterup,320.0,"2,560",8,Rocket Mortgage Classic
2,Min Woo Lee,319.9,"2,559",8,Rocket Mortgage Classic
3,Jake Knapp,319.5,"2,556",8,Rocket Mortgage Classic
4,Luke Clanton,316.3,"2,530",8,Rocket Mortgage Classic
5,Luke List,310.5,"2,484",8,Rocket Mortgage Classic
6,Nicolai Højgaard,310.4,"2,483",8,Rocket Mortgage Classic
7,Ryan Fox,310.1,"2,481",8,Rocket Mortgage Classic
8,Sam Stevens,309.6,"2,477",8,Rocket Mortgage Classic
9,Taylor Pendrith,308.9,"2,471",8,Rocket Mortgage Classic
10,Jhonattan Vegas,308.4,"2,467",8,Rocket Mortgage Classic
11,Nick Dunlap,307.9,"2,463",8,Rocket Mortgage Classic
11,Max Greyserman,307.9,"2,463",8,Rocket Mortgage Classic
13,Kevin Yu,306.6,"2,453",8,Rocket Mortgage Classic
14,Rico Hoey,306.3,"2,450",8,Rocket Mortgage Classic
15,Cameron Young,305.4,"2,443",8,Rocket Mortgage Classic
16,Hayden Springer,305.1,"2,441",8,Rocket Mortgage Classic
17,Callum Tarren,304.9,"2,439",8,Rocket Mortgage Classic
17,Erik van Rooyen,304.9,"2,439",8,Rocket Mortgage Classic
19,Davis Riley,304.4,"2,435",8,Rocket Mortgage Classic
19,Neal Shipley,304.4,"2,435",8,Rocket Mortgage Classic
21,Ryan McCormick,304.3,"2,434",8,Rocket Mortgage Classic
22,Matti Schmid,303.9,"2,431",8,Rocket Mortgage Classic
23,Nick Hardy,303.5,"2,428",8,Rocket Mortgage Classic
24,Patrick Fishburn,303.3,"2,426",8,Rocket Mortgage Classic
25,Vince Whaley,303.0,"2,424",8,Rocket Mortgage Classic
26,Taylor Moore,301.9,"2,415",8,Rocket Mortgage Classic
27,Cam Davis,301.8,"2,414",8,Rocket Mortgage Classic
28,Eric Cole,301.5,"2,412",8,Rocket Mortgage Classic
28,Davis Thompson,301.5,"2,412",8,Rocket Mortgage Classic
30,Ben James,300.6,"2,405",8,Rocket Mortgage Classic
31,Pierceson Coody,300.5,"2,404",8,Rocket Mortgage Classic
32,Jacob Bridgeman,300.3,"2,402",8,Rocket Mortgage Classic
33,Nico Echavarria,300.0,"2,400",8,Rocket Mortgage Classic
34,Michael Kim,299.6,"2,397",8,Rocket Mortgage Classic
35,Harry Hall,299.5,"2,396",8,Rocket Mortgage Classic
36,"Blaine Hale, Jr.",299.3,"2,394",8,Rocket Mortgage Classic
37,Akshay Bhatia,298.9,"2,391",8,Rocket Mortgage Classic
38,David Skinns,298.6,"2,389",8,Rocket Mortgage Classic
39,Maverick McNealy,298.5,"2,388",8,Rocket Mortgage Classic
39,J.J. Spaun,298.5,"2,388",8,Rocket Mortgage Classic
39,Carl Yuan,298.5,"2,388",8,Rocket Mortgage Classic
42,Beau Hossler,298.3,"2,386",8,Rocket Mortgage Classic
43,Ben Griffin,297.9,"2,383",8,Rocket Mortgage Classic
44,Peter Malnati,297.6,"2,381",8,Rocket Mortgage Classic
,Field Average,297.4,,,Rocket Mortgage Classic
45,Bud Cauley,295.4,"2,363",8,Rocket Mortgage Classic
46,Joel Dahmen,295.0,"2,360",8,Rocket Mortgage Classic
46,Rickie Fowler,295.0,"2,360",8,Rocket Mortgage Classic
48,Patrick Rodgers,294.6,"2,357",8,Rocket Mortgage Classic
49,Joe Highsmith,294.3,"2,354",8,Rocket Mortgage Classic
50,Roger Sloan,294.0,"2,352",8,Rocket Mortgage Classic
51,Andrew Novak,293.4,"2,347",8,Rocket Mortgage Classic
51,Dylan Wu,293.4,"2,347",8,Rocket Mortgage Classic
53,Chris Kirk,293.0,"2,344",8,Rocket Mortgage Classic
54,Ryo Hisatsune,292.9,"2,343",8,Rocket Mortgage Classic
55,Patton Kizzire,292.3,"2,338",8,Rocket Mortgage Classic
56,Hayden Buckley,291.0,"2,328",8,Rocket Mortgage Classic
57,Wesley Bryan,290.8,"2,326",8,Rocket Mortgage Classic
57,Mark Hubbard,290.8,"2,326",8,Rocket Mortgage Classic
59,Brandon Wu,290.4,"2,323",8,Rocket Mortgage Classic
60,Nicholas Lindheim,290.3,"2,322",8,Rocket Mortgage Classic
61,Ben Silverman,290.1,"2,321",8,Rocket Mortgage Classic
62,Kevin Streelman,290.0,"2,320",8,Rocket Mortgage Classic
63,Troy Merritt,289.1,"2,313",8,Rocket Mortgage Classic
63,Aaron Rai,289.1,"2,313",8,Rocket Mortgage Classic
65,Chandler Phillips,288.4,"2,307",8,Rocket Mortgage Classic
66,Justin Lower,287.1,"2,297",8,Rocket Mortgage Classic
67,Ben Kohles,285.0,"2,280",8,Rocket Mortgage Classic
68,Nate Lashley,284.5,"2,276",8,Rocket Mortgage Classic
69,Robby Shelton,282.3,"2,258",8,Rocket Mortgage Classic
70,Zach Johnson,281.8,"2,254",8,Rocket Mortgage Classic
71,Taylor Montgomery,281.6,"2,253",8,Rocket Mortgage Classic
72,Ryan Moore,275.5,"2,204",8,Rocket Mortgage Classic
73,Matt Kuchar,273.3,"2,186",8,Rocket Mortgage Classic
74,Aaron Baddeley,270.0,"2,160",8,Rocket Mortgage Classic
1,Cameron Young,315.6,"2,525",8,Travelers Championship
2,Sam Burns,313.5,"2,508",8,Travelers Championship
3,Chris Gotterup,313.1,"2,505",8,Travelers Championship
4,Michael Thorbjornsen,311.6,"2,493",8,Travelers Championship
5,Wyndham Clark,311.1,"2,489",8,Travelers Championship
6,Justin Thomas,310.9,"2,487",8,Travelers Championship
7,Robert MacIntyre,310.5,"2,484",8,Travelers Championship
8,Nick Dunlap,309.4,"2,475",8,Travelers Championship
9,Will Zalatoris,308.6,"2,469",8,Travelers Championship
10,Patrick Rodgers,308.0,"2,464",8,Travelers Championship
11,Adam Schenk,307.9,"2,463",8,Travelers Championship
12,Stephan Jaeger,307.1,"2,457",8,Travelers Championship
13,Kurt Kitayama,307.0,"2,456",8,Travelers Championship
14,Austin Eckroat,306.0,"2,448",8,Travelers Championship
15,Ludvig Åberg,305.5,"2,444",8,Travelers Championship
16,Tony Finau,305.0,"2,440",8,Travelers Championship
17,Keegan Bradley,304.9,"2,439",8,Travelers Championship
17,Viktor Hovland,304.9,"2,439",8,Travelers Championship
19,Davis Riley,304.3,"2,434",8,Travelers Championship
20,Thomas Detry,304.1,"2,433",8,Travelers Championship
20,Victor Perez,304.1,"2,433",8,Travelers Championship
22,Justin Rose,303.4,"2,427",8,Travelers Championship
23,Akshay Bhatia,303.3,"2,426",8,Travelers Championship
23,Webb Simpson,303.3,"2,426",8,Travelers Championship
25,Taylor Pendrith,302.8,"2,422",8,Travelers Championship
26,Patrick Cantlay,302.6,"2,421",8,Travelers Championship
27,Xander Schauffele,302.1,"2,417",8,Travelers Championship
28,Adam Scott,301.9,"2,415",8,Travelers Championship
29,Hideki Matsuyama,301.5,"2,412",8,Travelers Championship
29,Scottie Scheffler,301.5,"2,412",8,Travelers Championship
31,Jake Knapp,301.1,"2,409",8,Travelers Championship
32,Tom Hoge,300.8,"2,406",8,Travelers Championship
33,Taylor Moore,300.6,"2,405",8,Travelers Championship
34,Corey Conners,300.5,"2,404",8,Travelers Championship
35,Cam Davis,300.4,"2,403",8,Travelers Championship
,Field Average,300.3,,,Travelers Championship
36,Matt Fitzpatrick,300.1,"2,401",8,Travelers Championship
37,Christiaan Bezuidenhout,299.8,"2,398",8,Travelers Championship
38,Jason Day,298.9,"2,391",8,Travelers Championship
39,Sepp Straka,298.8,"2,390",8,Travelers Championship
40,Lee Hodges,298.5,"2,388",8,Travelers Championship
41,Emiliano Grillo,298.4,"2,387",8,Travelers Championship
42,Sungjae Im,298.1,"2,385",8,Travelers Championship
43,Chris Kirk,298.0,"2,384",8,Travelers Championship
44,Tom Kim,297.8,"2,382",8,Travelers Championship
45,Billy Horschel,297.6,"2,381",8,Travelers Championship
46,Max Homa,297.4,"2,379",8,Travelers Championship
46,Mackenzie Hughes,297.4,"2,379",8,Travelers Championship
48,Seamus Power,297.0,"2,376",8,Travelers Championship
49,Brian Harman,296.9,"2,375",8,Travelers Championship
50,Jordan Spieth,296.8,"2,374",8,Travelers Championship
51,Russell Henley,296.3,"2,370",8,Travelers Championship
52,Eric Cole,296.1,"2,369",8,Travelers Championship
52,Sahith Theegala,296.1,"2,369",8,Travelers Championship
54,Shane Lowry,295.9,"2,367",8,Travelers Championship
55,Si Woo Kim,295.8,"2,366",8,Travelers Championship
56,Adam Hadwin,295.6,"2,365",8,Travelers Championship
57,Matthieu Pavon,295.0,"2,360",8,Travelers Championship
58,Adam Svensson,294.9,"2,359",8,Travelers Championship
58,Nick Taylor,294.9,"2,359",8,Travelers Championship
60,Tommy Fleetwood,294.5,"2,356",8,Travelers Championship
61,Rickie Fowler,294.1,"2,353",8,Travelers Championship
62,Collin Morikawa,293.4,"2,347",8,Travelers Championship
63,Peter Malnati,293.1,"2,345",8,Travelers Championship
64,Harris English,293.0,"2,344",8,Travelers Championship
65,Lucas Glover,292.4,"2,339",8,Travelers Championship
66,Denny McCarthy,292.0,"2,336",8,Travelers Championship
67,Ben Griffin,288.4,"2,307",8,Travelers Championship
68,J.T. Poston,285.9,"2,287",8,Travelers Championship
69,Brendon Todd,284.1,"2,273",8,Travelers Championship
70,Andrew Putnam,281.0,"2,248",8,Travelers Championship
1,Bryson DeChambeau,337.8,"2,702",8,U.S. Open
2,Rory McIlroy,335.5,"2,684",8,U.S. Open
3,Min Woo Lee,330.5,"2,644",8,U.S. Open
4,Dean Burmester,328.4,"2,627",8,U.S. Open
5,Max Greyserman,325.1,"2,601",8,U.S. Open
6,Cameron Young,324.9,"2,599",8,U.S. Open
7,Tim Widing,324.5,"2,596",8,U.S. Open
8,Xander Schauffele,322.6,"2,581",8,U.S. Open
9,Isaiah Salinda,321.4,"2,571",8,U.S. Open
10,Ludvig Åberg,321.1,"2,569",8,U.S. Open
11,Nicolai Højgaard,320.9,"2,567",8,U.S. Open
12,Tom Kim,320.6,"2,565",8,U.S. Open
13,Gunnar Broin,319.5,"2,556",8,U.S. Open
14,Luke Clanton,318.9,"2,551",8,U.S. Open
15,Patrick Cantlay,318.0,"2,544",8,U.S. Open
16,Davis Thompson,317.4,"2,539",8,U.S. Open
17,Jordan Spieth,317.3,"2,538",8,U.S. Open
18,Scottie Scheffler,317.1,"2,537",8,U.S. Open
19,David Puig,316.9,"2,535",8,U.S. Open
20,Sam Burns,316.6,"2,533",8,U.S. Open
21,Tony Finau,316.4,"2,531",8,U.S. Open
22,Tyrrell Hatton,316.1,"2,529",8,U.S. Open
23,Neal Shipley,316.0,"2,528",8,U.S. Open
24,Ryan Fox,315.4,"2,523",8,U.S. Open
24,Stephan Jaeger,315.4,"2,523",8,U.S. Open
26,Brooks Koepka,315.1,"2,521",8,U.S. Open
27,Wyndham Clark,314.1,"2,513",8,U.S. Open
27,Taylor Pendrith,314.1,"2,513",8,U.S. Open
29,Corey Conners,313.0,"2,504",8,U.S. Open
30,S.H. Kim,312.5,"2,500",8,U.S. Open
31,Jackson Suber,312.4,"2,499",8,U.S. Open
32,Harris English,311.6,"2,493",8,U.S. Open
33,Collin Morikawa,311.3,"2,490",8,U.S. Open
34,Matt Fitzpatrick,310.6,"2,485",8,U.S. Open
,Field Average,310.5,,,U.S. Open
35,J.T. Poston,310.3,"2,482",8,U.S. Open
36,Keegan Bradley,309.1,"2,473",8,U.S. Open
37,Nico Echavarria,308.9,"2,471",8,U.S. Open
